name	chinese	math	english	sum	grade
曹昂	19	73	61	153	并列排名182
张松	73	36	44	153	并列排名182
崔琰	65	28	60	153	并列排名182
孙休	71	51	31	153	并列排名182
袁术	61	53	39	153	并列排名182
诸葛恪	51	67	34	152	并列排名189
荀顗	60	27	65	152	并列排名189
张纮	60	65	27	152	并列排名189
周善	60	32	60	152	并列排名189
陈宫	60	22	70	152	并列排名189
毛玠	72	50	29	151	并列排名194
水镜先生	33	70	48	151	并列排名194
姜维	9	71	71	151	并列排名194
王濬	58	61	31	150	并列排名197
张让	65	17	68	150	并列排名197
弥横	36	65	49	150	并列排名197
朱士行	33	65	52	150	并列排名197
张温	65	57	27	149	并列排名201
廖化	70	52	27	149	并列排名201
李典	39	60	50	149	并列排名201
袁颐	60	44	44	148	并列排名204
孙静	3	62	83	148	并列排名204
孙坚	65	19	64	148	并列排名204
孙策	36	49	60	145	并列排名207
孙乾	55	40	50	145	并列排名207
陈式	51	64	30	145	并列排名207
皇甫谧	32	60	53	145	并列排名207
丁谧	46	36	62	144	并列排名211
陈宫	51	70	23	144	并列排名211
鲁肃	63	20	60	143	排名213
董卓	60	40	40	140	排名214
王朗	57	30	52	139	排名215
张飞	31	80	27	138	并列排名216
曹熊	71	25	42	138	并列排名216
刘表	60	42	36	138	并列排名216
刘琦	51	72	14	137	并列排名219
吴班	42	35	60	137	并列排名219
徐干	37	66	33	136	排名221
谯周	19	56	60	135	并列排名222
曹睿	50	66	19	135	并列排名222
张鲁	21	36	78	135	并列排名222
刘恢	61	60	13	134	排名225
张任	60	32	41	133	排名226
曹彰	48	51	33	132	并列排名227
周仓	60	51	21	132	并列排名227
枣祗	49	60	23	132	并列排名227
乐綝	43	25	63	131	并列排名230
徐质	33	31	67	131	并列排名230
吕布	17	27	86	130	并列排名232
张梁	40	52	38	130	并列排名232
诸葛谨	60	39	31	130	并列排名232
陈登	70	28	31	129	排名235
霍峻	57	50	20	127	排名236
赵统	62	39	25	126	排名237
张郃	64	25	36	125	并列排名238
诸葛诞	69	34	22	125	并列排名238
吴质	68	19	35	122	排名240
李恢	60	28	30	118	排名241
马忠	60	20	36	116	并列排名242
张辽	7	60	49	116	并列排名242
赵子龙	64	50	2	116	并列排名242
吕蒙	31	33	52	116	并列排名242
彭羕	6	70	40	116	并列排名242
汉灵帝	52	23	41	116	并列排名242
汉少帝	60	30	25	115	排名248
司马昭	51	60	3	114	排名249
潘璋	60	19	34	113	并列排名250
卢植	51	20	42	113	并列排名250
曹真	60	15	37	112	排名252
马腾	22	67	21	110	排名253
沮授	51	50	8	109	排名254
司马师	20	39	49	108	并列排名255
马谡	55	42	11	108	并列排名255
许褚	44	30	31	105	并列排名257
王平	60	22	23	105	并列排名257
曹操	23	29	48	100	排名259
孙亮	60	9	30	99	排名260
繁钦	12	68	16	96	排名261
曹丕	30	25	34	89	排名262
乔国老	13	23	29	65	排名263
